Date,Open,High,Low,Close,Adj Close,Volume
1/3/11,9899.400391,9993.599609,9850.5,9888.299805,9888.290039,135778000
1/4/11,9895.5,9974.200195,9799.400391,9888.400391,9888.390625,194824000
1/5/11,9877.5,9882.400391,9599.299805,9801.400391,9801.390625,241101000
1/6/11,9803.200195,9832.599609,9678.400391,9702.700195,9702.69043,179999000
1/7/11,9682.400391,9699.400391,9497.799805,9560.700195,9560.69043,268083000
1/10/11,9488.299805,9491.799805,9387.900391,9437.799805,9437.790039,271713000
1/11/11,9467.400391,9593,9404.700195,9582.099609,9582.089844,270518000
1/12/11,9606.400391,10106.2002,9596,10101.2002,10101.19043,415429000
1/13/11,10105.7998,10410.2002,10096.7998,10370.7998,10370.78906,484937000
1/14/11,10337.7998,10423,10249.5,10385.09961,10385.08887,292458000
1/17/11,10328.2998,10354.90039,10245.5,10280,10279.98926,207148000
1/18/11,10314.2002,10591.90039,10304.59961,10583.40039,10583.38965,320746000
1/19/11,10596.7002,10618,10493.2998,10556.5,10556.48926,294236000
1/20/11,10542.59961,10683,10515.5,10636.90039,10636.88965,365740000
1/21/11,10663.40039,10937.59961,10660.5,10829.09961,10829.08887,441528000
1/24/11,10852.2002,10925.5,10690.2998,10815.40039,10815.38965,235973000
1/25/11,10840.7998,10855.40039,10626.7002,10664.40039,10664.38965,294500000
1/26/11,10715,10812.2998,10668.7002,10670.7002,10670.68945,229377000
1/27/11,10644.2002,10899.2998,10579.90039,10828.7002,10828.68945,297157000
1/28/11,10822,10961.09961,10713.40039,10747,10746.98926,341939000
1/31/11,10738.2002,10918.59961,10603.40039,10806,10805.98926,266180000
2/1/11,10886.2002,10987.09961,10777.09961,10967.90039,10967.88965,283883000
2/2/11,11004.2002,11044.2998,10917.40039,11010.2002,11010.18945,246889000
2/3/11,10979.59961,11019.09961,10756.59961,10860.7002,10860.68945,362088000
2/4/11,10875.2998,10906.2998,10770.40039,10854.7002,10854.68945,228777000
2/7/11,10854.2998,10985,10782.2998,10922.59961,10922.58887,279793000
2/8/11,10921.59961,10992.09961,10869.40039,10965.09961,10965.08887,196967000
2/9/11,10950.59961,11053.90039,10910.7002,10935.59961,10935.58887,202681000
2/10/11,10877.7998,10885.2998,10685.7002,10791.90039,10791.88965,276284000
2/11/11,10771.7002,10875.59961,10656.40039,10803.59961,10803.58887,177823000
2/14/11,10847.59961,10894.2002,10733.7998,10774.7002,10774.68945,187491000
2/15/11,10753.2998,10899.59961,10719.2002,10826.2002,10826.18945,180920000
2/16/11,10852,11092.09961,10851,11047.7998,11047.78906,323647000
2/17/11,11056.2002,11149,10999,11113,11112.98828,245438000
2/18/11,11137.59961,11165,10961,11068.09961,11068.08887,325457000
2/21/11,11049.2998,11050.2998,10792.2002,10810.5,10810.48926,212236000
2/22/11,10720.2002,10792.90039,10601.2998,10701.90039,10701.88965,260887000
2/23/11,10705.2002,10741,10611.59961,10633.40039,10633.38965,217729000
2/24/11,10563.2002,10674.59961,10543.2998,10647.59961,10647.58887,217940000
2/25/11,10703,10848.59961,10669.40039,10822.7002,10822.68945,233462000
2/28/11,10829.90039,10923,10730.7002,10850.7998,10850.78906,216216000
3/1/11,10898.7998,10939.7002,10707.40039,10761.90039,10761.88965,256468000
3/2/11,10682,10710.90039,10576.2002,10643.7998,10643.78906,233014000
3/3/11,10682.90039,10781.90039,10512.2002,10566.90039,10566.88965,262825000
3/4/11,10596,10627.2002,10463.7998,10498.7002,10498.68945,221762000
3/7/11,10478.09961,10623.90039,10417.5,10495.7002,10495.68945,257321000
3/8/11,10529.40039,10568.7002,10412.90039,10568.7002,10568.68945,198314000
3/9/11,10594.5,10602.40039,10497.2998,10559.5,10559.48926,411425000
3/10/11,10444.90039,10479.2998,10351.2002,10435.59961,10435.58887,243919000
3/11/11,10346.2002,10452.7998,10313.59961,10398.40039,10398.38965,256479000
3/14/11,10386.2002,10637.7002,10364.5,10415.90039,10415.88965,505812000
3/15/11,10250.2002,10376.90039,10076.5,10329.7002,10329.68945,471079000
3/16/11,10372.2002,10422.2002,10079.90039,10092.59961,10092.58984,358245000
3/17/11,10183.7002,10375,10085.5,10325.59961,10325.58887,0
3/18/11,10382.7998,10448.59961,10262.09961,10328.40039,10328.38965,370068000
3/21/11,10473.7002,10574.40039,10418.90039,10574.40039,10574.38965,223977000
3/22/11,10584.7998,10734.2998,10549.7002,10576.09961,10576.08887,269854000
3/23/11,10548.40039,10658.90039,10512.09961,10638,10637.98926,246215000
3/24/11,10545.2998,10766,10522,10755.59961,10755.58887,246475000
3/25/11,10776.09961,10801.09961,10702.40039,10710.40039,10710.38965,171675000
3/28/11,10721.7002,10766,10677.7998,10751,10750.98926,149945000
3/29/11,10760,10778.09961,10658.7002,10735,10734.98926,198381000
3/30/11,10816.90039,10830.40039,10699.2002,10732.2998,10732.28906,201587000
3/31/11,10755.7998,10784.7998,10570.90039,10576.5,10576.48926,247985000
4/1/11,10657.2002,10729.90039,10580.59961,10729.90039,10729.88965,212310000
4/4/11,10710.2002,10813.90039,10661.7002,10756.09961,10756.08887,172979000
4/5/11,10742.2998,10749.2998,10624.59961,10678.59961,10678.58887,222697000
4/6/11,10686.40039,10882.2998,10658.7002,10845.09961,10845.08887,241416000
4/7/11,10836.7998,10928.09961,10778.40039,10849.09961,10849.08887,274742000
4/8/11,10916.59961,10950.09961,10885.2998,10913.2002,10913.18945,184078000
4/11/11,10896.2002,10958.2002,10860.09961,10878.2998,10878.28906,156876000
4/12/11,10812.5,10882.2998,10756.2002,10784.5,10784.48926,219734000
4/13/11,10814.59961,10867.09961,10767.59961,10786,10785.98926,219983000
4/14/11,10747.7998,10751.09961,10558.09961,10622.7002,10622.68945,261200000
4/15/11,10647.2002,10647.59961,10484.7002,10558.59961,10558.58887,325846000
4/18/11,10574.7998,10574.7998,10289.09961,10344.90039,10344.88965,349381000
4/19/11,10355.59961,10433.2002,10306.2998,10376.5,10376.48926,209775000
4/20/11,10461.40039,10569.90039,10433.2998,10535.40039,10535.38965,240176000
4/21/11,10603.7998,10634.09961,10528.5,10584.09961,10584.08887,176355000
4/26/11,10574.90039,10700.2002,10546.90039,10650.59961,10650.58887,169712000
4/27/11,10673.09961,10769.7002,10619.40039,10740.90039,10740.88965,194417000
4/28/11,10809.90039,10890,10809,10867.7998,10867.78906,182170000
4/29/11,10889.2998,10911.2998,10805.5,10878.90039,10878.88965,140332000
5/2/11,10917.40039,10928.2002,10841.7998,10877.2998,10877.28906,139444000
5/3/11,10865,10865.59961,10775.7998,10825.59961,10825.58887,184413000
5/4/11,10812.7998,10883.09961,10686.90039,10712.59961,10712.58887,198034000
5/5/11,10749.2998,10758.90039,10574.2002,10627.2998,10627.28906,215316000
5/6/11,10544.5,10628.40039,10481.59961,10610.5,10610.48926,258553000
5/9/11,10546.90039,10548.2998,10368.09961,10396.2998,10396.28906,227390000
5/10/11,10401.5,10498.09961,10337.2002,10474.40039,10474.38965,222694000
5/11/11,10527.5,10590.2998,10461.40039,10531.5,10531.48926,154751000
5/12/11,10459.7002,10487.59961,10383.90039,10487.59961,10487.58887,187824000
5/13/11,10512.09961,10566.90039,10321.7998,10356.5,10356.48926,229668000
5/16/11,10280.2002,10390.90039,10245.09961,10363.90039,10363.88965,166999000
5/17/11,10366.59961,10431.7998,10306.09961,10306.40039,10306.38965,177689000
5/18/11,10381.2998,10387,10269.40039,10343.7002,10343.68945,181075000
5/19/11,10378.5,10421,10286.59961,10376.7998,10376.78906,189011000
5/20/11,10389.2998,10449.90039,10190.90039,10226.59961,10226.58887,281705000
5/23/11,10110.5,10122.5,10030.59961,10082.7002,10082.69043,220742000
