Date,Open,High,Low,Close,Adj Close,Volume
1/3/11,6973.390137,7026.620117,6969.830078,6989.740234,6989.740234,61893200
1/4/11,6979.680176,7025.859863,6952.02002,6975.350098,6975.350098,87665600
1/5/11,6966.080078,6967.240234,6842.899902,6939.819824,6939.819824,117141900
1/6/11,6949.47998,7047.589844,6949.069824,6981.390137,6981.390137,91236400
1/7/11,6991.549805,7010.890137,6939.879883,6947.839844,6947.839844,92626900
1/10/11,6920.359863,6941.390137,6835.740234,6857.060059,6857.060059,93167900
1/11/11,6879.390137,6951.189941,6860.52002,6941.569824,6941.569824,115258100
1/12/11,6958.839844,7070.399902,6958.5,7068.779785,7068.779785,122555700
1/13/11,7075.540039,7084.069824,7036.089844,7075.109863,7075.109863,160361400
1/14/11,7055.419922,7083.02002,7015.350098,7075.700195,7075.700195,125089000
1/17/11,7072.75,7087.430176,7055.830078,7078.060059,7078.060059,79250900
1/18/11,7100.47998,7156.25,7099.120117,7143.450195,7143.450195,121727300
1/19/11,7163.370117,7165,7077.22998,7082.759766,7082.759766,110001900
1/20/11,7074.890137,7084.240234,7008.620117,7024.27002,7024.27002,154426700
1/21/11,7047.700195,7122.890137,7023.689941,7062.419922,7062.419922,173919200
1/24/11,7080.779785,7089.620117,7000.410156,7067.77002,7067.77002,121571600
1/25/11,7096.839844,7102.080078,7043.640137,7059.009766,7059.009766,122874800
1/26/11,7092.890137,7160.859863,7087.25,7127.350098,7127.350098,109512300
1/27/11,7120.640137,7180.149902,7114.350098,7155.580078,7155.580078,113476500
1/28/11,7155.470215,7177.22998,7102.799805,7102.799805,7102.799805,96018200
1/31/11,7094.560059,7107.370117,7033.089844,7077.47998,7077.47998,93018500
2/1/11,7133.339844,7190.75,7105.310059,7184.27002,7184.27002,117369400
2/2/11,7202.620117,7222.129883,7160.359863,7183.669922,7183.669922,114242400
2/3/11,7175.75,7198.97998,7144.080078,7193.680176,7193.680176,105091300
2/4/11,7216.660156,7226.640137,7186.240234,7216.209961,7216.209961,94076900
2/7/11,7222.049805,7287.660156,7214.049805,7283.620117,7283.620117,93205600
2/8/11,7274.169922,7325.029785,7272.799805,7323.240234,7323.240234,98883400
2/9/11,7319.120117,7350.779785,7310.439941,7320.899902,7320.899902,81819000
2/10/11,7322.620117,7340.870117,7269.529785,7340.279785,7340.279785,105376400
2/11/11,7320.069824,7390.47998,7283.870117,7371.200195,7371.200195,96097500
2/14/11,7403.830078,7424.359863,7378.410156,7396.629883,7396.629883,69641000
2/15/11,7397.680176,7420.689941,7376.240234,7400.040039,7400.040039,101585600
2/16/11,7414.22998,7438.419922,7399.819824,7414.299805,7414.299805,122447300
2/17/11,7429,7434.930176,7364.040039,7405.509766,7405.509766,112233100
2/18/11,7422.109863,7427.299805,7379.939941,7426.810059,7426.810059,122186000
2/21/11,7412.060059,7441.819824,7310.689941,7321.810059,7321.810059,100847900
2/22/11,7293.109863,7350.950195,7259.669922,7318.350098,7318.350098,121301400
2/23/11,7295.120117,7310.72998,7183.299805,7194.600098,7194.600098,118018600
2/24/11,7134.700195,7156.049805,7093.910156,7130.5,7130.5,137570400
2/25/11,7139.879883,7194.02002,7130.149902,7185.169922,7185.169922,114084700
2/28/11,7173.589844,7305.490234,7148.939941,7272.319824,7272.319824,101476200
3/1/11,7309.799805,7356.330078,7193.779785,7223.299805,7223.299805,112179300
3/2/11,7169.040039,7202.580078,7122.689941,7181.120117,7181.120117,111139900
3/3/11,7225.22998,7294.040039,7191.140137,7225.959961,7225.959961,95318500
3/4/11,7262.540039,7311.25,7157.120117,7178.899902,7178.899902,97463100
3/7/11,7137.810059,7270.810059,7127.310059,7161.930176,7161.930176,86671800
3/8/11,7211.060059,7222.160156,7072.470215,7164.75,7164.75,143918800
3/9/11,7177.549805,7217.540039,7109.259766,7131.799805,7131.799805,129975700
3/10/11,7078.689941,7109.709961,7021.950195,7063.089844,7063.089844,131965800
3/11/11,7002.259766,7014.02002,6963.310059,6981.490234,6981.490234,141420300
3/14/11,6896.310059,6946.439941,6847.939941,6866.629883,6866.629883,170810200
3/15/11,6668.990234,6714.830078,6483.390137,6647.660156,6647.660156,284442100
3/16/11,6696.310059,6733.029785,6501.850098,6513.839844,6513.839844,202700000
3/17/11,6557.850098,6692.830078,6517.180176,6656.879883,6656.879883,146277000
3/18/11,6715.169922,6761.310059,6655.689941,6664.399902,6664.399902,252614000
3/21/11,6782.299805,6829.75,6781.299805,6816.120117,6816.120117,218418400
3/22/11,6823.080078,6826.029785,6765.060059,6780.970215,6780.970215,119673000
3/23/11,6749.180176,6807.379883,6720.02002,6804.450195,6804.450195,95709800
3/24/11,6798.080078,6941.720215,6787.040039,6933.580078,6933.580078,103543200
3/25/11,6971.77002,6985.25,6920.569824,6946.359863,6946.359863,80873800
3/28/11,6931.859863,6981.189941,6915.580078,6938.629883,6938.629883,72637400
3/29/11,6952.509766,6960.160156,6867.419922,6934.439941,6934.439941,93210600
3/30/11,7010.77002,7065.27002,7002.77002,7057.149902,7057.149902,100538400
3/31/11,7068.290039,7079.759766,7041.310059,7041.310059,7041.310059,96954200
4/1/11,7086.560059,7192.379883,7086.560059,7179.810059,7179.810059,103281900
4/4/11,7178.589844,7200.259766,7168.240234,7175.330078,7175.330078,79269800
4/5/11,7174.689941,7186.350098,7129.410156,7175.310059,7175.310059,104322600
4/6/11,7197.370117,7242.689941,7157.680176,7215.109863,7215.109863,153818400
4/7/11,7212.459961,7241.089844,7175.350098,7178.779785,7178.779785,125928000
4/8/11,7226.790039,7232.870117,7195.439941,7217.02002,7217.02002,117232400
4/11/11,7215.339844,7224.740234,7157.330078,7204.859863,7204.859863,108138900
4/12/11,7131.439941,7177.740234,7089.169922,7102.910156,7102.910156,147603100
4/13/11,7135.209961,7201.120117,7122.509766,7177.970215,7177.970215,182464900
4/14/11,7160.990234,7184.930176,7099.660156,7146.560059,7146.560059,134223300
4/15/11,7166.97998,7193.379883,7144.959961,7178.290039,7178.290039,187053300
4/18/11,7165.990234,7174.75,6994.560059,7026.850098,7026.850098,163927600
4/19/11,7050.850098,7078.790039,7027.040039,7039.310059,7039.310059,130648600
4/20/11,7137.100098,7261.259766,7136.740234,7249.189941,7249.189941,142610300
4/21/11,7294.580078,7316.529785,7280.100098,7295.490234,7295.490234,115546600
4/26/11,7288.77002,7359.970215,7278.52002,7356.509766,7356.509766,83584900
4/27/11,7374.109863,7428.720215,7361.240234,7404.950195,7404.950195,107731000
4/28/11,7450.569824,7480.330078,7426.620117,7475.220215,7475.220215,138731300
4/29/11,7475,7514.689941,7461.529785,7514.459961,7514.459961,91918500
5/2/11,7570.859863,7600.410156,7527.640137,7527.640137,7527.640137,92276200
5/3/11,7518.600098,7523.680176,7446.830078,7500.700195,7500.700195,142236900
5/4/11,7475.180176,7534.259766,7355.399902,7373.930176,7373.930176,182273400
5/5/11,7416.379883,7423.959961,7291.390137,7376.959961,7376.959961,194776600
5/6/11,7391.040039,7501.629883,7362.549805,7492.25,7492.25,175803700
5/9/11,7461.350098,7489.089844,7379.970215,7410.52002,7410.52002,121918900
5/10/11,7446.439941,7533.859863,7423.330078,7501.52002,7501.52002,107863900
5/11/11,7526.560059,7566.410156,7469.629883,7495.049805,7495.049805,118539600
5/12/11,7438.02002,7443.950195,7356.759766,7443.950195,7443.950195,154679300
5/13/11,7486.200195,7511.089844,7391.140137,7403.310059,7403.310059,136905900
5/16/11,7348.120117,7402.52002,7284.959961,7387.540039,7387.540039,154713300
5/17/11,7346.810059,7368.97998,7253.890137,7256.649902,7256.649902,117671300
5/18/11,7325.850098,7340.540039,7261.290039,7303.529785,7303.529785,94210100
5/19/11,7360.470215,7415.649902,7316.740234,7358.22998,7358.22998,124046700
5/20/11,7372.180176,7410.310059,7228.129883,7266.819824,7266.819824,286354900
5/23/11,7158.080078,7166.149902,7105.200195,7121.52002,7121.52002,185377900
5/24/11,7129.939941,7202.209961,7128.040039,7150.660156,7150.660156,192413900
5/25/11,7079.25,7183.799805,7071.419922,7170.939941,7170.939941,240857800
5/26/11,7202.720215,7217.240234,7087.319824,7114.089844,7114.089844,225572400
5/27/11,7205.129883,7208.47998,7115.47998,7163.470215,7163.470215,190772700
5/30/11,7165,7204.160156,7146.97998,7160.299805,7160.299805,98879200
5/31/11,7240.120117,7319.689941,7238.77002,7293.689941,7293.689941,216651000
6/1/11,7310.560059,7314.660156,7193.890137,7217.430176,7217.430176,228386600
6/2/11,7155.859863,7157.589844,7074.120117,7074.120117,7074.120117,111564700
6/3/11,7101.47998,7120.120117,7021.359863,7109.029785,7109.029785,162452200
6/6/11,7095.399902,7124.310059,7062.72998,7084.569824,7084.569824,113843000
6/7/11,7094.140137,7147.629883,7086.899902,7103.25,7103.25,116852500
6/8/11,7076.310059,7089.149902,6991.620117,7060.22998,7060.22998,145465300
6/9/11,7061.870117,7183.779785,7035.859863,7159.660156,7159.660156,149284700
6/10/11,7152.549805,7182.830078,7050.839844,7069.899902,7069.899902,136631500
6/13/11,7075.910156,7123.879883,7040.419922,7085.140137,7085.140137,66730300
6/14/11,7165.140137,7231.490234,7161.209961,7204.790039,7204.790039,113231500
6/15/11,7178.049805,7202.169922,7093.22998,7115.080078,7115.080078,123845400
6/16/11,7062.180176,7111.640137,7017.97998,7110.200195,7110.200195,161145900
6/17/11,7084.27002,7224.109863,7037.240234,7164.049805,7164.049805,370096700
6/20/11,7078.589844,7158.240234,7063.859863,7150.209961,7150.209961,103234800
6/21/11,7202.879883,7285.509766,7176.740234,7285.509766,7285.509766,137260700
6/22/11,7285.930176,7310.100098,7262.370117,7278.189941,7278.189941,123713100
6/23/11,7225.200195,7237.200195,7118.52002,7149.439941,7149.439941,132109000
6/24/11,7231.72998,7273.319824,7099.220215,7121.379883,7121.379883,167161100
6/27/11,7101.149902,7144.439941,7079.109863,7107.899902,7107.899902,149929900
6/28/11,7138.5,7187.080078,7075.189941,7170.430176,7170.430176,137242600
6/29/11,7230.950195,7320.299805,7230.950195,7294.140137,7294.140137,148482500
6/30/11,7310.339844,7378.350098,7285.439941,7376.240234,7376.240234,116696800
7/1/11,7374.490234,7443.200195,7357.029785,7419.439941,7419.439941,141248400
7/4/11,7427.140137,7450.379883,7416.72998,7442.959961,7442.959961,84661300
7/5/11,7433.129883,7474.930176,7424.72998,7439.439941,7439.439941,93830600
7/6/11,7443.930176,7450.709961,7396.740234,7431.189941,7431.189941,121347200
7/7/11,7467.819824,7516.149902,7442.97998,7471.439941,7471.439941,127076600
7/8/11,7502.830078,7523.529785,7389.799805,7402.72998,7402.72998,138519500
7/11/11,7352.72998,7358.5,7188.959961,7230.25,7230.25,197080600
7/12/11,7112.189941,7190.470215,6996.259766,7174.140137,7174.140137,252968800
7/13/11,7171.470215,7280.160156,7163.089844,7267.870117,7267.870117,154203700
7/14/11,7204.939941,7267.279785,7197.490234,7214.740234,7214.740234,136788900
7/15/11,7188.700195,7254.100098,7139.680176,7220.120117,7220.120117,206979800
7/18/11,7162.819824,7171.549805,7089.089844,7107.919922,7107.919922,168925900
7/19/11,7148.47998,7236.439941,7139.759766,7192.669922,7192.669922,165009200
7/20/11,7250.180176,7263.180176,7166.370117,7221.359863,7221.359863,171129500
7/21/11,7264.97998,7326.609863,7142.430176,7290.140137,7290.140137,244577600
7/22/11,7308.47998,7357.25,7266.790039,7326.390137,7326.390137,200085400
7/25/11,7273.600098,7366.779785,7258.52002,7344.540039,7344.540039,111466400
7/26/11,7369.890137,7382.799805,7302.5,7349.450195,7349.450195,140210200
7/27/11,7315.75,7344.169922,7216.580078,7252.680176,7252.680176,133571100
7/28/11,7163.950195,7203.009766,7110.129883,7190.060059,7190.060059,164840600
